p
"(:User {user_id: 2, user_name: Matt2002, user_age: 28, interests: [Chess]})-[:LIKES]->(:Interest {interest_name: Chess, interest_id: 1})"
"(:User {user_id: 3, user_name: Peter1998, user_age: 28})-[:LIKES]->(:Interest {interest_name: Swimming, interest_id: 4})"
"(:User {user_id: 3, user_name: Peter1998, user_age: 28})-[:LIKES]->(:Interest {interest_name: Knitting, interest_id: 5})"
"(:User {user_id: 1, user_name: JamesStevens, user_age: 32})-[:LIKES]->(:Interest {interest_name: Hiking, interest_id: 3})"
"(:User {user_id: 1, user_name: JamesStevens, user_age: 32})-[:LIKES]->(:Interest {interest_name: Swimming, interest_id: 4})"
"(:User {user_id: 1, user_name: JamesStevens, user_age: 32})-[:LIKES]->(:Interest {interest_name: Gardening, interest_id: 7})"
"(:User {user_id: 4, user_name: Rachael19, user_age: 19})-[:LIKES]->(:Interest {interest_name: Gardening, interest_id: 7})"
"(:User {user_id: 4, user_name: Rachael19, user_age: 19})-[:LIKES]->(:Interest {interest_name: Baking, interest_id: 6})"
"(:User {user_id: 5, user_name: JulliettaJohnson, user_age: 21})-[:LIKES]->(:Interest {interest_name: Programming, interest_id: 2})"
"(:User {user_id: 5, user_name: JulliettaJohnson, user_age: 21})-[:LIKES]->(:Interest {interest_name: Hiking, interest_id: 3})"
"(:User {user_id: 5, user_name: JulliettaJohnson, user_age: 21})-[:LIKES]->(:Interest {interest_name: Swimming, interest_id: 4})"
"(:User {user_id: 5, user_name: JulliettaJohnson, user_age: 21})-[:LIKES]->(:Interest {interest_name: Baking, interest_id: 6})"
"(:User {user_id: 6, user_name: PhiilipJohnson, user_age: 24})-[:LIKES]->(:Interest {interest_name: Chess, interest_id: 1})"
"(:User {user_id: 6, user_name: PhiilipJohnson, user_age: 24})-[:LIKES]->(:Interest {interest_name: Gardening, interest_id: 7})"
